,Keyword,ArticleIds,ArticleUrls,NbArticles,Nb,Ponderation,ReactionsCount,CommentsCount
222,scope variable,1797055,/ssukhpinder/day-2-of-30-day-net-challenge-variable-scope-logic-control-with-code-blocks-1e06,1,1,0.5441,5,0
223,code variable,1797055,/ssukhpinder/day-2-of-30-day-net-challenge-variable-scope-logic-control-with-code-blocks-1e06,1,1,0.532,5,0
224,variable application,1797055,/ssukhpinder/day-2-of-30-day-net-challenge-variable-scope-logic-control-with-code-blocks-1e06,1,1,0.5026,5,0
225,code autodev,1796938,/ssukhpinder/from-davin-to-microsoft-autodev-what-it-means-for-software-developers-4a78,1,1,0.6251,5,0
226,automate software,1796938,/ssukhpinder/from-davin-to-microsoft-autodev-what-it-means-for-software-developers-4a78,1,1,0.6178,5,0
227,microsoft autodev,1796938,/ssukhpinder/from-davin-to-microsoft-autodev-what-it-means-for-software-developers-4a78,1,2,0.617,5,0
228,projects autodev,1796938,/ssukhpinder/from-davin-to-microsoft-autodev-what-it-means-for-software-developers-4a78,1,1,0.6065,5,0
229,autodev researchers,1796938,/ssukhpinder/from-davin-to-microsoft-autodev-what-it-means-for-software-developers-4a78,1,1,0.5911,5,0
230,referenciam métodos,1780432,/lincolnqjunior/refinando-a-conversao-de-grupo-de-metodos-para-delegado-no-c-11-4fgp,1,1,0.5915,0,0
231,métodos como,1780432,/lincolnqjunior/refinando-a-conversao-de-grupo-de-metodos-para-delegado-no-c-11-4fgp,1,1,0.556,0,0
232,conversão grupo,1780432,/lincolnqjunior/refinando-a-conversao-de-grupo-de-metodos-para-delegado-no-c-11-4fgp,1,1,0.5527,0,0
233,métodos conversão,1780432,/lincolnqjunior/refinando-a-conversao-de-grupo-de-metodos-para-delegado-no-c-11-4fgp,1,1,0.5418,0,0
234,seleção métodos,1780432,/lincolnqjunior/refinando-a-conversao-de-grupo-de-metodos-para-delegado-no-c-11-4fgp,1,1,0.5382,0,0
235,async event,1793153,/devleader/async-event-handlers-in-c-what-you-need-to-know-jb,1,21,0.599,1,0
236,asynchronous events,1793153,/devleader/async-event-handlers-in-c-what-you-need-to-know-jb,1,1,0.5843,1,0
237,handlers async,1793153,/devleader/async-event-handlers-in-c-what-you-need-to-know-jb,1,1,0.5814,1,0
238,handling async,1793153,/devleader/async-event-handlers-in-c-what-you-need-to-know-jb,1,1,0.5605,1,0
239,managing async,1793153,/devleader/async-event-handlers-in-c-what-you-need-to-know-jb,1,1,0.5564,1,0
240,visualization arctic,1796525,/syncfusion/chart-of-the-week-creating-a-net-maui-fast-line-chart-to-visualize-the-arctic-sea-ice-extent-since-2000-315p,1,1,0.6723,0,0
241,visualize arctic,1796525,/syncfusion/chart-of-the-week-creating-a-net-maui-fast-line-chart-to-visualize-the-arctic-sea-ice-extent-since-2000-315p,1,1,0.6485,0,0
242,chart arctic,1796525,/syncfusion/chart-of-the-week-creating-a-net-maui-fast-line-chart-to-visualize-the-arctic-sea-ice-extent-since-2000-315p,1,1,0.6424,0,0
243,data arctic,1796525,/syncfusion/chart-of-the-week-creating-a-net-maui-fast-line-chart-to-visualize-the-arctic-sea-ice-extent-since-2000-315p,1,1,0.5649,0,0
244,extent arctic,1796525,/syncfusion/chart-of-the-week-creating-a-net-maui-fast-line-chart-to-visualize-the-arctic-sea-ice-extent-since-2000-315p,1,1,0.5185,0,0
245,authentication authorization,1796052,/vinayaksavle/basic-authentication-and-authorization-3fcm,1,1,0.643,0,0
246,authenticated authorization,1796052,/vinayaksavle/basic-authentication-and-authorization-3fcm,1,1,0.6029,0,0
247,authentication process,1796052,/vinayaksavle/basic-authentication-and-authorization-3fcm,1,1,0.6027,0,0
248,authorization net,1796052,/vinayaksavle/basic-authentication-and-authorization-3fcm,1,1,0.5945,0,0
249,object initializers,1796012,/ssukhpinder/enhancing-object-initializers-with-the-from-the-end-index-operator-b16,1,6,0.5828,0,0
250,object initializer,1796012,/ssukhpinder/enhancing-object-initializers-with-the-from-the-end-index-operator-b16,1,2,0.546,0,0
251,useful initializing,1796012,/ssukhpinder/enhancing-object-initializers-with-the-from-the-end-index-operator-b16,1,1,0.5242,0,0
252,initializers object,1796012,/ssukhpinder/enhancing-object-initializers-with-the-from-the-end-index-operator-b16,1,1,0.5139,0,0
253,initializers,1796012,/ssukhpinder/enhancing-object-initializers-with-the-from-the-end-index-operator-b16,1,6,0.5099,0,0
254,boolean expressions,1795849,/ssukhpinder/day-1-of-30-day-net-challenge-boolean-expressions-2d31,1,6,0.5528,0,0
255,boolean value,1795849,/ssukhpinder/day-1-of-30-day-net-challenge-boolean-expressions-2d31,1,1,0.4906,0,0
256,expression programming,1795849,/ssukhpinder/day-1-of-30-day-net-challenge-boolean-expressions-2d31,1,1,0.4742,0,0
257,outcomes boolean,1795849,/ssukhpinder/day-1-of-30-day-net-challenge-boolean-expressions-2d31,1,1,0.4738,0,0
258,boolean return,1795849,/ssukhpinder/day-1-of-30-day-net-challenge-boolean-expressions-2d31,1,1,0.4709,0,0
259,são referências,1780431,/lincolnqjunior/dominando-campos-ref-e-ref-escopados-no-c-11-3la7,1,1,0.6397,0,0
260,referência escopada,1780431,/lincolnqjunior/dominando-campos-ref-e-ref-escopados-no-c-11-3la7,1,1,0.5986,0,0
261,referências conclusão,1780431,/lincolnqjunior/dominando-campos-ref-e-ref-escopados-no-c-11-3la7,1,1,0.5892,0,0
262,dessas referências,1780431,/lincolnqjunior/dominando-campos-ref-e-ref-escopados-no-c-11-3la7,1,1,0.5876,0,0
263,ref escopados,1780431,/lincolnqjunior/dominando-campos-ref-e-ref-escopados-no-c-11-3la7,1,8,0.575,0,0
264,immutability records,1795620,/lovelacecoding/modern-c-development-record-types-101-55bj,1,1,0.5961,2,0
265,records immutability,1795620,/lovelacecoding/modern-c-development-record-types-101-55bj,1,1,0.5946,2,0
266,records immutable,1795620,/lovelacecoding/modern-c-development-record-types-101-55bj,1,1,0.5464,2,0
267,record properties,1795620,/lovelacecoding/modern-c-development-record-types-101-55bj,1,1,0.5251,2,0
268,personclass mutable,1795620,/lovelacecoding/modern-c-development-record-types-101-55bj,1,1,0.5251,2,0
269,plugin architectures,1793140,/devleader/plugin-architecture-in-c-for-improved-software-design-12jc,1,6,0.6759,2,2
270,plugin architecture,1793140,/devleader/plugin-architecture-in-c-for-improved-software-design-12jc,1,18,0.6443,2,2
271,assemblies plugins,1793140,/devleader/plugin-architecture-in-c-for-improved-software-design-12jc,1,1,0.5979,2,2
272,plugins modularity,1793140,/devleader/plugin-architecture-in-c-for-improved-software-design-12jc,1,1,0.5678,2,2
273,leveraging plugins,1793140,/devleader/plugin-architecture-in-c-for-improved-software-design-12jc,1,1,0.5635,2,2
274,method ironzip,1795151,/mhamzap10/how-to-unzip-a-file-in-c-17fo,1,1,0.7401,0,0
275,ironzip easy,1795151,/mhamzap10/how-to-unzip-a-file-in-c-17fo,1,1,0.7171,0,0
276,ironzip ironzip,1795151,/mhamzap10/how-to-unzip-a-file-in-c-17fo,1,1,0.7163,0,0
277,file ironzip,1795151,/mhamzap10/how-to-unzip-a-file-in-c-17fo,1,1,0.7116,0,0
278,ironzip use,1795151,/mhamzap10/how-to-unzip-a-file-in-c-17fo,1,1,0.7094,0,0
279,audit entityframework,1792745,/hirushafernando/entity-framework-core-audit-trial-with-auditnet-3o8l,1,3,0.7297,1,0
280,auditdbcontext,1792745,/hirushafernando/entity-framework-core-audit-trial-with-auditnet-3o8l,1,2,0.6424,1,0
281,auditdbcontext instead,1792745,/hirushafernando/entity-framework-core-audit-trial-with-auditnet-3o8l,1,1,0.6384,1,0
282,net audit,1792745,/hirushafernando/entity-framework-core-audit-trial-with-auditnet-3o8l,1,1,0.6375,1,0
283,simple auditdbcontext,1792745,/hirushafernando/entity-framework-core-audit-trial-with-auditnet-3o8l,1,1,0.6234,1,0
284,property validation,1794631,/ssukhpinder/c-model-validation-attribute-cheatsheet-2nml,1,1,0.6951,2,0
285,validates property,1794631,/ssukhpinder/c-model-validation-attribute-cheatsheet-2nml,1,1,0.6626,2,0
286,attributes validatenever,1794631,/ssukhpinder/c-model-validation-attribute-cheatsheet-2nml,1,2,0.6551,2,0
287,validation attributes,1794631,/ssukhpinder/c-model-validation-attribute-cheatsheet-2nml,1,1,0.6306,2,0
288,validation attribute,1794631,/ssukhpinder/c-model-validation-attribute-cheatsheet-2nml,1,1,0.6179,2,0
289,blazor daterangepicker,1794627,/syncfusion/blazor-daterangepicker-overview-3blp,1,5,0.7483,0,0
290,daterangepicker lightweight,1794627,/syncfusion/blazor-daterangepicker-overview-3blp,1,1,0.6442,0,0
291,blazor date,1794627,/syncfusion/blazor-daterangepicker-overview-3blp,1,1,0.6308,0,0
292,demos daterangepicker,1794627,/syncfusion/blazor-daterangepicker-overview-3blp,1,1,0.6248,0,0
293,daterangepicker,1794627,/syncfusion/blazor-daterangepicker-overview-3blp,1,7,0.6121,0,0
